Instance,Terminal,Layer,X location,Y location,Voltage
IO_FILL_IO_SOUTH_10_102,vdd,Metal1,2219.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_1_0,vdd,Metal1,485.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_0_50,vdd,Metal1,375.0000,293.7250,1.199999
IO_FILL_IO_EAST_16_50,vdd,Metal1,3306.2750,4655.0000,1.199990
IO_FILL_IO_EAST_15_170,vdd,Metal1,3306.2750,4488.0000,1.199993
IO_FILL_IO_EAST_15_150,vdd,Metal1,3306.2750,4468.0000,1.199993
IO_FILL_IO_EAST_15_100,vdd,Metal1,3306.2750,4433.0000,1.199994
IO_FILL_IO_EAST_15_50,vdd,Metal1,3306.2750,4383.0000,1.199994
IO_FILL_IO_EAST_14_170,vdd,Metal1,3306.2750,4216.0000,1.199996
IO_FILL_IO_EAST_14_150,vdd,Metal1,3306.2750,4196.0000,1.199996
IO_FILL_IO_EAST_14_100,vdd,Metal1,3306.2750,4161.0000,1.199996
IO_FILL_IO_EAST_14_50,vdd,Metal1,3306.2750,4111.0000,1.199997
IO_FILL_IO_EAST_13_170,vdd,Metal1,3306.2750,3944.0000,1.199999
IO_FILL_IO_EAST_13_150,vdd,Metal1,3306.2750,3924.0000,1.199999
IO_FILL_IO_EAST_13_100,vdd,Metal1,3306.2750,3889.0000,1.199999
IO_FILL_IO_EAST_13_50,vdd,Metal1,3306.2750,3839.0000,1.199998
IO_FILL_IO_EAST_12_170,vdd,Metal1,3306.2750,3672.0000,1.199998
IO_FILL_IO_EAST_12_150,vdd,Metal1,3306.2750,3652.0000,1.199998
IO_FILL_IO_EAST_12_100,vdd,Metal1,3306.2750,3617.0000,1.199998
IO_FILL_IO_EAST_12_50,vdd,Metal1,3306.2750,3567.0000,1.199998
IO_FILL_IO_EAST_11_170,vdd,Metal1,3306.2750,3400.0000,1.199997
IO_FILL_IO_EAST_11_150,vdd,Metal1,3306.2750,3380.0000,1.199997
IO_FILL_IO_EAST_11_100,vdd,Metal1,3306.2750,3345.0000,1.199997
IO_FILL_IO_EAST_11_50,vdd,Metal1,3306.2750,3295.0000,1.199997
IO_FILL_IO_EAST_10_170,vdd,Metal1,3306.2750,3128.0000,1.199997
IO_FILL_IO_EAST_10_150,vdd,Metal1,3306.2750,3108.0000,1.199997
IO_FILL_IO_EAST_10_100,vdd,Metal1,3306.2750,3073.0000,1.199997
IO_FILL_IO_EAST_10_50,vdd,Metal1,3306.2750,3023.0000,1.199997
IO_FILL_IO_EAST_9_170,vdd,Metal1,3306.2750,2856.0000,1.199997
IO_FILL_IO_EAST_9_150,vdd,Metal1,3306.2750,2836.0000,1.199997
IO_FILL_IO_EAST_9_100,vdd,Metal1,3306.2750,2801.0000,1.199997
IO_FILL_IO_EAST_9_50,vdd,Metal1,3306.2750,2751.0000,1.199997
IO_FILL_IO_EAST_8_170,vdd,Metal1,3306.2750,2584.0000,1.199997
IO_FILL_IO_EAST_8_150,vdd,Metal1,3306.2750,2564.0000,1.199997
IO_FILL_IO_EAST_8_100,vdd,Metal1,3306.2750,2529.0000,1.199997
IO_FILL_IO_EAST_8_50,vdd,Metal1,3306.2750,2479.0000,1.199997
IO_FILL_IO_EAST_7_170,vdd,Metal1,3306.2750,2312.0000,1.199997
IO_FILL_IO_EAST_7_150,vdd,Metal1,3306.2750,2292.0000,1.199997
IO_FILL_IO_EAST_7_100,vdd,Metal1,3306.2750,2257.0000,1.199997
IO_FILL_IO_EAST_7_50,vdd,Metal1,3306.2750,2207.0000,1.199997
IO_FILL_IO_EAST_6_170,vdd,Metal1,3306.2750,2040.0000,1.199998
IO_FILL_IO_EAST_6_150,vdd,Metal1,3306.2750,2020.0000,1.199998
IO_FILL_IO_EAST_6_100,vdd,Metal1,3306.2750,1985.0000,1.199998
